58,116,46,141,0,161,162,197,93
163,192,31,88,113,96,134,84,8

185,104,120,65,6,15,135,150,177
141,0,59,201,36,125,186,164,46

55,5,161,150,70,201,119,134,50
55,68,161,150,70,201,119,134,50

127,73,24,190,158,107,90,191,49
190,67,200,6,46,134,64,148,36

54,34,23,108,121,159,205,78,209
148,107,142,36,6,9,204,93,189

117,141,192,161,144,146,175,45,115
117,141,192,161,144,146,155,45,115

202,102,80,28,195,185,134,18,11
47,83,79,64,103,102,172,211,164

56,49,8,135,113,184,164,196,92
56,49,8,135,113,184,164,196,103

155,0,30,80,171,197,121,130,33
55,170,78,145,206,2,23,198,46

130,196,30,140,33,66,92,184,164
130,196,119,140,33,66,92,184,164

53,143,183,113,203,26,10,70,188
85,15,140,171,4,183,179,33,54

106,99,140,12,3,187,212,171,45
106,99,140,12,3,187,157,171,45

119,190,13,208,29,36,61,163,105
119,190,13,208,105,36,61,163,29

117,140,155,196,27,49,92,119,190
179,201,49,52,119,29,140,13,191

94,4,199,53,113,171,33,57,153
199,113,171,48,53,52,181,118,94

96,48,80,64,164,194,113,11,135
38,105,148,206,56,7,156,50,142

49,66,164,75,92,140,113,196,155
49,66,164,75,92,140,113,196,198

113,90,196,57,124,27,190,187,48
171,53,94,107,199,176,82,113,45

66,187,171,35,90,12,75,113,212
66,187,171,35,90,26,75,113,212

54,182,53,183,205,121,117,132,33
121,117,182,33,183,132,205,54,53

187,103,106,206,52,19,49,90,182
187,49,206,52,106,90,103,182,19
